,time,value,RRI,hf,lf/hf,sdnn,rmssd
0,00:00:07,72,833.33,,,,
1,00:00:12,70,857.14,,,,
2,00:00:27,69,869.57,,,,
3,00:00:42,69,869.57,,,,
4,00:00:57,69,869.57,,,,
5,00:01:07,66,909.09,,,,
6,00:01:22,66,909.09,,,,
7,00:01:32,65,923.08,,,,
8,00:01:47,66,909.09,,,,
9,00:01:52,70,857.14,,,,
10,00:01:57,71,845.07,,,,
11,00:02:07,72,833.33,,,,
12,00:02:17,73,821.92,,,,
13,00:02:22,73,821.92,,,,
14,00:02:32,74,810.81,,,,
15,00:02:37,71,845.07,,,,
16,00:02:42,69,869.57,,,,
17,00:02:47,68,882.35,,,,
18,00:02:52,67,895.52,,,,
19,00:02:57,65,923.08,,,,
20,00:03:12,66,909.09,,,,
21,00:03:17,65,923.08,,,,
22,00:03:22,65,923.08,,,,
23,00:03:27,65,923.08,,,,
24,00:03:37,66,909.09,,,,
25,00:03:42,66,909.09,,,,
26,00:03:47,67,895.52,,,,
27,00:04:02,66,909.09,,,,
28,00:04:07,68,882.35,,,,
29,00:04:12,66,909.09,,,,
30,00:04:17,64,937.5,,,,
31,00:04:22,64,937.5,,,,
32,00:04:37,64,937.5,,,,
33,00:04:52,64,937.5,,,,
34,00:04:57,65,923.08,,,,
35,00:05:12,65,923.08,,,,
36,00:05:17,64,937.5,,,,
37,00:05:32,64,937.5,,,,
38,00:05:47,64,937.5,,,,
39,00:06:02,64,937.5,,,,
40,00:06:17,64,937.5,,,,
41,00:06:22,62,967.74,,,,
42,00:06:27,60,1000.0,,,,
43,00:06:42,60,1000.0,,,,
44,00:06:52,61,983.61,,,,
45,00:07:07,63,952.38,,,,
46,00:07:12,64,937.5,,,,
47,00:07:22,65,923.08,,,,
48,00:07:37,66,909.09,,,,
49,00:07:52,66,909.09,,,,
50,00:07:57,65,923.08,393.06258181871266,7.076821979787151,43.94207833974545,18.190400361347812
51,00:08:12,65,923.08,,,,
52,00:08:27,65,923.08,307.66272318511574,4.853716479252675,42.126517902283695,17.893073394758215
53,00:08:42,65,923.08,,,,
54,00:08:47,66,909.09,262.56032967387193,3.7290432599501666,41.38695812569412,17.893073394758215
55,00:08:52,67,895.52,,,,
56,00:08:57,69,869.57,255.16955332865646,3.3189678171332875,41.01097577130159,17.205822638079866
57,00:09:02,70,857.14,,,,
58,00:09:07,71,845.07,284.27646130816447,3.4905744798956584,42.10789485139725,17.462755410604952
59,00:09:12,72,833.33,,,,
60,00:09:17,70,857.14,333.15334107776107,3.938716040917491,43.80285212454662,15.896006814702282
61,00:09:27,69,869.57,,,,
62,00:09:37,67,895.52,387.66419947048274,4.4927076228557015,42.49340673947584,16.18444321071369
63,00:09:47,66,909.09,,,,
64,00:09:52,67,895.52,450.14881508382666,5.47270747430878,38.57888813634647,16.640857758504385
65,00:09:57,66,909.09,,,,
66,00:10:02,65,923.08,508.9637053909164,6.6894156797094295,34.38584289844781,15.755323946306568
67,00:10:17,65,923.08,,,,
68,00:10:32,65,923.08,564.8113077882537,8.17345205674357,33.40998510405326,15.663700529750761
69,00:10:42,66,909.09,,,,
70,00:10:57,66,909.09,611.8947032706393,10.209360162627966,33.284921295888154,15.160818592944223
71,00:11:02,67,895.52,,,,
72,00:11:07,68,882.35,647.9438812546144,12.804250892861894,33.41856298587383,15.153025831058782
73,00:11:12,67,895.52,,,,
74,00:11:17,64,937.5,674.7878092269955,15.937188898533908,33.8698171840598,15.254489536539992
75,00:11:32,64,937.5,,,,
76,00:11:38,66,909.09,691.5037086788258,18.849632456807587,34.113513987442396,16.275967384020962
77,00:11:48,66,909.09,,,,
78,00:11:58,67,895.52,699.7673303881946,20.91481294198537,33.995187189377496,16.21815825372465
79,00:12:03,66,909.09,,,,
80,00:12:18,66,909.09,698.4433838994661,20.780686255415002,33.77159198413449,15.47515342312921
81,00:12:33,66,909.09,,,,
82,00:12:48,66,909.09,683.5606706667062,18.119985262010516,33.543902636420114,15.475153423129209
83,00:12:58,68,882.35,,,,
84,00:13:13,68,882.35,655.132176220634,14.298086103715693,33.585140691462136,15.805985368504796
85,00:13:18,67,895.52,,,,
86,00:13:23,66,909.09,615.6149256854706,10.725413655928765,33.93156848416999,15.78370510807825
87,00:13:33,64,937.5,,,,
88,00:13:38,65,923.08,555.4098488324283,7.7125550133814995,33.75170853060173,16.412050699509347
89,00:13:43,64,937.5,,,,
90,00:13:53,65,923.08,481.49432265955915,5.448018536074333,33.59508602064733,16.6686114647641
91,00:14:08,65,923.08,,,,
92,00:14:18,66,909.09,397.4481100468435,3.8018246831156275,32.49737879790759,15.562290241189446
93,00:14:28,65,923.08,,,,
94,00:14:43,65,923.08,314.68564358481075,2.65564299478553,26.91881383580136,15.642607369173541
95,00:14:58,65,923.08,,,,
96,00:15:03,62,967.74,240.35827776486227,1.8429451547339821,23.928931678311635,14.841433865488648
97,00:15:13,61,983.61,,,,
98,00:15:28,61,983.61,186.9132748628462,1.3600873262715227,27.279175076551393,16.058474652446453
99,00:15:33,60,1000.0,,,,
100,00:15:43,61,983.61,153.97768170857253,1.126925448756707,32.00518904101365,16.104738686587407
101,00:15:53,62,967.74,,,,
102,00:16:03,63,952.38,135.54187670809276,1.017194914971596,34.45431792554143,16.431215191003403
103,00:16:08,64,937.5,,,,
104,00:16:23,64,937.5,134.5099664446523,1.081688441388751,35.01230936253647,16.592892933975293
105,00:16:33,65,923.08,,,,
106,00:16:38,67,895.52,149.20192079091444,1.3239449346534231,35.07268590356028,16.188475177465865
107,00:16:43,68,882.35,,,,
108,00:16:48,69,869.57,179.16899295754502,1.801778427092055,33.87994260410047,16.58255931602199
109,00:16:53,72,833.33,,,,
110,00:17:08,72,833.33,224.99125581265557,2.6785193429600858,32.99683486119756,17.05094688854312
111,00:17:13,73,821.92,,,,
