,time,value,RRI,ratio,sdnn,rmssd,hf
0,00:00:14,69,869.57,,,,
1,00:00:24,69,869.57,,,,
2,00:00:29,70,857.14,,,,
3,00:00:39,69,869.57,,,,
4,00:00:44,68,882.35,,,,
5,00:00:50,68,882.35,,,,
6,00:01:05,68,882.35,,,,
7,00:01:10,67,895.52,,,,
8,00:01:15,66,909.09,,,,
9,00:01:25,67,895.52,,,,
10,00:01:30,68,882.35,,,,
11,00:01:40,69,869.57,,,,
12,00:01:45,70,857.14,,,,
13,00:01:55,69,869.57,,,,
14,00:02:00,68,882.35,,,,
15,00:02:05,67,895.52,,,,
16,00:02:20,69,869.57,,,,
17,00:02:25,70,857.14,,,,
18,00:02:30,70,857.14,,,,
19,00:02:35,70,857.14,,,,
20,00:02:45,66,909.09,,,,
21,00:02:50,66,909.09,,,,
22,00:02:55,65,923.08,,,,
23,00:03:10,66,909.09,,,,
24,00:03:25,67,895.52,,,,
25,00:03:40,68,882.35,,,,
26,00:03:55,68,882.35,,,,
27,00:04:05,67,895.52,,,,
28,00:04:20,68,882.35,,,,
29,00:04:35,68,882.35,,,,
30,00:04:45,69,869.57,,,,
31,00:04:50,70,857.14,,,,
32,00:04:55,71,845.07,,,,
33,00:05:00,72,833.33,,,,
34,00:05:05,73,821.92,,,,
35,00:05:10,74,810.81,,,,
36,00:05:15,73,821.92,,,,
37,00:05:25,74,810.81,,,,
38,00:05:40,74,810.81,,,,
39,00:05:55,74,810.81,,,,
40,00:06:00,75,800.0,,,,
41,00:06:10,74,810.81,,,,
42,00:06:15,73,821.92,,,,
43,00:06:20,72,833.33,,,,
44,00:06:30,73,821.92,,,,
45,00:06:35,75,800.0,,,,
46,00:06:40,74,810.81,,,,
47,00:06:45,68,882.35,,,,
48,00:06:50,67,895.52,,,,
49,00:06:55,67,895.52,,,,
50,00:07:00,67,895.52,3.595899787813918,34.069197336944626,17.039807354952046,382.6134747381791
51,00:07:15,68,882.35,,,,
52,00:07:20,67,895.52,4.680170423326077,34.46297496782096,17.051147965423787,422.76556235969724
53,00:07:25,65,923.08,,,,
54,00:07:30,63,952.38,5.889705513867309,35.711838487583734,17.415398944846586,459.0035090978883
55,00:07:35,62,967.74,,,,
56,00:07:45,63,952.38,6.629981643357849,40.262798100195965,18.045254619586686,493.4335190691404
57,00:07:50,64,937.5,,,,
58,00:07:55,63,952.38,6.748918084998587,42.86368308239221,18.101572656900878,525.1307137018428
59,00:08:00,63,952.38,,,,
60,00:08:05,65,923.08,6.002973111054373,45.41089469926525,18.02464316496973,554.7097010105788
61,00:08:10,66,909.09,,,,
62,00:08:15,67,895.52,5.078329161594496,46.2132301848989,18.436807185184577,583.8301113112436
63,00:08:25,67,895.52,,,,
64,00:08:40,67,895.52,4.333384346995828,46.318539411605926,18.36266659529046,618.9786507814359
65,00:08:50,68,882.35,,,,
66,00:09:00,69,869.57,3.8357222022379798,46.31853941160592,17.984566058888685,660.5588758068725
67,00:09:05,70,857.14,,,,
68,00:09:10,73,821.92,3.5247518657253964,46.31853941160592,18.076997786678852,701.4937552613534
69,00:09:15,74,810.81,,,,
70,00:09:20,75,800.0,3.4188785078830715,47.68460996281844,17.30706626950804,749.018805582043
71,00:09:25,73,821.92,,,,
72,00:09:30,74,810.81,3.4844912122479603,48.74483249430611,17.542260925187126,802.2694762688941
73,00:09:45,74,810.81,,,,
74,00:10:00,74,810.81,3.6388492180317455,49.13358342730728,17.392457959631557,847.9222464778798
75,00:10:15,75,800.0,,,,
76,00:10:20,76,789.47,3.9481641245855834,50.304585048462144,17.3592234496682,884.6039930061061
77,00:10:25,78,769.23,,,,
78,00:10:30,79,759.49,4.409418758392681,52.61626945602841,17.460994431320696,911.0434186900403
79,00:10:45,79,759.49,,,,
80,00:10:50,78,769.23,4.998768886512165,55.84352648248498,17.420940483996233,920.4449546832594
81,00:10:55,79,759.49,,,,
82,00:11:00,80,750.0,5.759745935739428,58.49054371295188,17.356122603759598,915.4418783823254
83,00:11:05,81,740.74,,,,
84,00:11:20,82,731.71,6.51369584794618,61.99790628459537,17.30182637522315,890.870931593191
85,00:11:30,83,722.89,,,,
86,00:11:35,83,722.89,7.053476686849405,66.08344687018753,17.250126116072547,833.5355533587248
87,00:11:45,85,705.88,,,,
88,00:11:50,88,681.82,7.526608930706555,70.64246831295563,17.347989179482116,770.5394933323887
89,00:11:55,90,666.67,,,,
90,00:12:00,91,659.34,7.8992558858874915,77.63173223387878,17.750098418813092,693.1739806359144
91,00:12:05,90,666.67,,,,
92,00:12:10,89,674.16,7.842021903231355,84.47540736105584,17.673572626601423,601.9856724876144
