,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd
0,00:00:00,74,0,810.81,,,,
1,00:00:05,74,5,810.81,,,,
2,00:00:10,73,10,821.92,,,,
3,00:00:25,73,25,821.92,,,,
4,00:00:30,74,30,810.81,,,,
5,00:00:35,76,35,789.47,,,,
6,00:00:45,74,45,810.81,,,,
7,00:00:50,72,50,833.33,,,,
8,00:01:00,71,60,845.07,,,,
9,00:01:10,74,70,810.81,,,,
10,00:01:20,72,80,833.33,,,,
11,00:01:35,72,95,833.33,,,,
12,00:01:45,73,105,821.92,,,,
13,00:01:50,74,110,810.81,,,,
14,00:01:55,72,115,833.33,,,,
15,00:02:00,71,120,845.07,,,,
16,00:02:05,73,125,821.92,,,,
17,00:02:10,74,130,810.81,,,,
18,00:02:20,76,140,789.47,,,,
19,00:02:25,79,145,759.49,,,,
20,00:02:35,77,155,779.22,,,,
21,00:02:40,76,160,789.47,,,,
22,00:02:45,74,165,810.81,,,,
23,00:02:50,72,170,833.33,,,,
24,00:02:55,71,175,845.07,,,,
25,00:03:00,70,180,857.14,,,,
26,00:03:05,69,185,869.57,,,,
27,00:03:10,68,190,882.35,,,,
28,00:03:15,69,195,869.57,,,,
29,00:03:20,70,200,857.14,,,,
30,00:03:25,71,205,845.07,,,,
31,00:03:40,71,220,845.07,,,,
32,00:03:50,70,230,857.14,,,,
33,00:04:05,70,245,857.14,,,,
34,00:04:10,71,250,845.07,,,,
35,00:04:20,72,260,833.33,,,,
36,00:04:25,71,265,845.07,,,,
37,00:04:30,72,270,833.33,,,,
38,00:04:40,71,280,845.07,,,,
39,00:04:50,70,290,857.14,,,,
40,00:05:05,69,305,869.57,,,,
41,00:05:20,69,320,869.57,,,,
42,00:05:25,71,325,845.07,,,,
43,00:05:35,70,335,857.14,,,,
44,00:05:45,68,345,882.35,,,,
45,00:05:55,70,355,857.14,,,,
46,00:06:00,69,360,869.57,,,,
47,00:06:15,70,375,857.14,,,,
48,00:06:20,71,380,845.07,,,,
49,00:06:30,70,390,857.14,,,,
50,00:06:35,70,395,857.14,604.8573114545758,8.858748353143593,27.20553462598585,16.08504077503984
51,00:06:40,76,400,789.47,,,,
52,00:06:45,77,405,779.22,540.2879343104441,8.646537495589241,27.702939407144484,18.699282481050517
53,00:06:50,74,410,810.81,,,,
54,00:06:55,72,415,833.33,456.1525936143511,7.378864508358814,28.94261586135503,19.22639214990792
55,00:07:00,71,420,845.07,,,,
56,00:07:05,70,425,857.14,364.45570546647167,5.8756000319360515,27.96812340023214,19.084794888035024
57,00:07:15,72,435,833.33,,,,
58,00:07:20,71,440,845.07,282.5788269035771,4.229313941920121,27.855784597656207,19.1209167443106
59,00:07:35,72,455,833.33,,,,
60,00:07:50,72,470,833.33,221.72304026310186,2.9367752460723917,27.59204064839818,18.355681209180474
61,00:07:55,71,475,845.07,,,,
62,00:08:00,70,480,857.14,185.22151573472394,2.094665014028216,27.5996601199126,18.35992758200115
63,00:08:05,70,485,857.14,,,,
64,00:08:10,69,490,869.57,176.44926431350405,1.6802075518887172,27.425371081149944,18.088423685566724
65,00:08:15,70,495,857.14,,,,
66,00:08:20,73,500,821.92,189.3510967989398,1.522467762850401,27.811262896128092,17.881481813226063
67,00:08:25,72,505,833.33,,,,
68,00:08:35,73,515,821.92,215.66848523376024,1.4550153526975307,27.492275041902076,18.327759140223357
69,00:08:40,72,520,833.33,,,,
70,00:08:50,74,530,810.81,241.38918075490938,1.427739317021911,23.83169116610768,17.746361455181713
71,00:08:55,69,535,869.57,,,,
72,00:09:00,71,540,845.07,269.18392094668025,1.4426767789871624,21.310085592488452,19.60381251966369
73,00:09:05,74,545,810.81,,,,
74,00:09:10,73,550,821.92,288.7136056604346,1.4224599705085608,21.233896437497467,20.18293045205907
75,00:09:15,70,555,857.14,,,,
76,00:09:20,69,560,869.57,295.969014489358,1.3798138949560714,21.507042001946004,20.713731076318464
77,00:09:25,68,565,882.35,,,,
78,00:09:31,67,571,895.52,290.1990919122489,1.3324137557405096,21.507042001946008,20.709383952051056
79,00:09:36,68,576,882.35,,,,
80,00:09:41,67,581,895.52,271.1753871624174,1.2442447082915358,22.92207553732375,20.732385491381976
81,00:09:46,66,586,909.09,,,,
82,00:09:51,67,591,895.52,246.34831648086472,1.1700297438282519,25.462039533071064,20.8364219479218
83,00:09:56,69,596,869.57,,,,
84,00:10:06,71,606,845.07,223.40581896688758,1.1042867581334994,26.410229740363405,21.182169051215844
85,00:10:11,81,611,740.74,,,,
86,00:10:16,80,616,750.0,206.43909305668853,1.0498052121034565,30.52473357051656,26.027800560954375
87,00:10:21,76,621,789.47,,,,
88,00:10:26,79,626,759.49,211.42580598247042,1.1012155593888953,34.435021271362444,26.55869395301276
89,00:10:31,75,631,800.0,,,,
90,00:10:36,73,636,821.92,241.64554635986718,1.2635286690311667,36.97089340747582,27.40568900421807
91,00:10:41,68,641,882.35,,,,
92,00:10:46,64,646,937.5,296.74444246209043,1.53890759290194,37.113883601142895,28.690658011674426
93,00:10:51,65,651,923.08,,,,
94,00:11:01,67,661,895.52,422.74290874971217,2.093421566327513,41.03826870279068,29.555471505600583
95,00:11:06,69,666,869.57,,,,
96,00:11:11,70,671,857.14,593.8819685136456,2.7874246556908315,41.435152691049815,29.776609091358814
97,00:11:16,74,676,810.81,,,,
98,00:11:21,73,681,821.92,816.6264342895186,3.6106125252524817,41.570007681166544,30.454536205797073
99,00:11:36,73,696,821.92,,,,
100,00:11:46,73,706,821.92,1093.2962747632016,4.597983419745772,41.757265445790445,30.447079280855405
101,00:11:56,74,716,810.81,,,,
102,00:12:01,72,721,833.33,1380.5810714428555,5.598511158821747,41.367920540398636,28.87812105228117
103,00:12:06,68,726,882.35,,,,
104,00:12:13,66,733,909.09,1701.1951202639948,6.739779400323315,40.43642127526892,29.370393325279686
105,00:12:18,66,738,909.09,,,,
106,00:12:28,67,748,895.52,2044.708980747036,8.019280038513438,42.30931245202722,29.519932836879534
107,00:12:43,70,763,857.14,,,,
108,00:12:53,69,773,869.57,2318.666865168635,9.17325391523797,42.776791402033204,29.847339778223716
109,00:13:03,70,783,857.14,,,,
110,00:13:13,71,793,845.07,2524.3529172944545,10.237199365345695,42.811434694149526,29.905805558828376
111,00:13:28,73,808,821.92,,,,
112,00:13:33,72,813,833.33,2644.661816750538,11.099851265231578,42.93420539450036,30.041331392545434
113,00:13:38,73,818,821.92,,,,
114,00:13:43,74,823,810.81,2665.7914126062738,11.692611209671117,43.14953965086573,30.077270996755107
115,00:13:48,72,828,833.33,,,,
116,00:13:53,71,833,845.07,2590.7441888195526,11.934344732691693,43.40123835579266,29.81682120096999
117,00:13:58,70,838,857.14,,,,
118,00:14:13,70,853,857.14,2435.8150252632695,11.802387249012398,43.217459637398925,29.824737985745465
119,00:14:18,70,858,857.14,,,,
120,00:14:33,70,873,857.14,2225.437851892108,11.337283357368376,43.022412812915306,29.60587927684471
121,00:14:38,69,878,869.57,,,,
122,00:14:43,68,883,882.35,1975.2599740708463,10.65112008283408,42.67174252168214,28.23025356468715
123,00:14:53,69,893,869.57,,,,
124,00:14:58,70,898,857.14,1714.701181984546,9.89573147004861,42.58116008091766,27.877242089751505
125,00:15:03,70,903,857.14,,,,
126,00:15:13,68,913,882.35,1471.8284180908004,9.063328881805472,42.35992152822703,27.41943385741626
127,00:15:18,68,918,882.35,,,,
128,00:15:23,69,923,869.57,1250.5815114136976,8.334928751986196,42.5005488795289,27.53039474279071
129,00:15:28,70,928,857.14,,,,
130,00:15:38,69,938,869.57,1071.7713434471827,7.718086531478774,41.918294785870074,27.51961993982936
131,00:15:43,69,943,869.57,,,,
132,00:15:48,69,948,869.57,907.3061153035846,7.160751993082505,40.78388515087793,27.440235503541082
133,00:16:03,69,963,869.57,,,,
134,00:16:13,67,973,895.52,777.0358697249807,6.796966576341327,40.36717523899228,26.962448262843854
135,00:16:18,67,978,895.52,,,,
136,00:16:33,67,993,895.52,665.1520261280473,6.399953129090043,38.075768524544515,22.733869904095236
137,00:16:38,68,998,882.35,,,,
138,00:16:43,78,1003,769.23,557.8270810691781,5.935221885570352,34.17494318046126,21.68483943275786
139,00:16:48,84,1008,714.29,,,,
140,00:16:53,85,1013,705.88,466.1919190627653,5.243536780947866,38.5355671751462,27.380304369143513
141,00:17:03,83,1023,722.89,,,,
142,00:17:08,78,1028,769.23,397.55048501725787,4.676520257267277,47.50686767495532,24.908458156921366
143,00:17:13,75,1033,800.0,,,,
144,00:17:18,74,1038,810.81,342.93416609026264,4.26397538585606,46.55485468624237,25.764962603488954
145,00:17:23,71,1043,845.07,,,,
146,00:17:28,68,1048,882.35,323.92165131363157,3.660132346551929,46.13094124824444,25.94756403965192
147,00:17:33,66,1053,909.09,,,,
148,00:17:38,65,1058,923.08,384.07422087848875,3.5472088557956507,47.02501466154336,25.882565600048558
149,00:17:53,65,1073,923.08,,,,
150,00:17:58,66,1078,909.09,523.0402094142896,3.735008355777659,49.071650298521746,25.959612666523338
151,00:18:03,67,1083,895.52,,,,
152,00:18:08,69,1088,869.57,787.7427428657836,4.175385689136399,49.56933878509816,25.86087404018761
153,00:18:13,68,1093,882.35,,,,
154,00:18:23,69,1103,869.57,1155.6440258845403,4.722347667009574,49.52370926070438,24.94450919091235
155,00:18:28,70,1108,857.14,,,,
156,00:18:33,70,1113,857.14,1619.5678608695102,5.341534313821955,48.30841302865309,24.99913745450807
157,00:18:39,70,1119,857.14,,,,
158,00:18:44,68,1124,882.35,2078.505666600762,5.864868169921607,47.92302915752148,24.32574746633531
159,00:18:49,65,1129,923.08,,,,
160,00:18:59,63,1139,952.38,2599.483298794137,6.482115990282224,49.07424444447331,25.148394154924265
161,00:19:04,62,1144,967.74,,,,
162,00:19:14,64,1154,937.5,3022.0057648294546,7.172315242827564,53.1283576548536,25.321586217522565
163,00:19:19,66,1159,909.09,,,,
164,00:19:24,66,1164,909.09,3295.37347391044,7.8877146518049015,54.25721191600209,25.906393190933887
165,00:19:39,66,1179,909.09,,,,
166,00:19:44,67,1184,895.52,3403.88798438224,8.489033588354314,54.28176171475226,25.651089486349985
167,00:19:49,68,1189,882.35,,,,
168,00:19:54,66,1194,909.09,3322.4095672705675,9.223192617175801,54.37096062406543,25.735249430796397
169,00:20:04,67,1204,895.52,,,,
170,00:20:09,68,1209,882.35,3105.276373016132,10.005397625225799,54.7628121104541,26.08933733250003
171,00:20:14,70,1214,857.14,,,,
172,00:20:19,71,1219,845.07,2765.9227683830586,10.750622491783567,54.79278767114803,26.280737999453486
173,00:20:24,66,1224,909.09,,,,
174,00:20:29,65,1229,923.08,2369.735218362237,11.322596743695266,55.163557485805754,27.7634300283444
175,00:20:34,66,1234,909.09,,,,
176,00:20:39,67,1239,895.52,1962.639361290028,11.261375493778162,55.857528688473806,27.673567437066684
177,00:20:44,66,1244,909.09,,,,
178,00:20:54,67,1254,895.52,1577.7633597251254,10.530930874470712,56.16126932725951,27.74903999074857
179,00:20:59,69,1259,869.57,,,,
180,00:21:09,68,1269,882.35,1289.6620189710497,9.138487495986155,56.20244167874792,27.950024424070232
181,00:21:14,69,1274,869.57,,,,
182,00:21:29,70,1289,857.14,1071.7965340756448,7.350641133528274,56.2120544443729,28.069027959875005
183,00:21:34,73,1294,821.92,,,,
184,00:21:39,78,1299,769.23,923.9607106188872,5.899044801629425,56.73372262146911,28.33012278728875
185,00:21:44,77,1304,779.22,,,,
186,00:21:49,75,1309,800.0,802.7880252560324,4.443619932638915,59.76120829174889,29.347750739526663
187,00:21:54,73,1314,821.92,,,,
188,00:21:59,70,1319,857.14,721.8103254727066,3.647752299561918,60.657079196857794,24.803696523391224
189,00:22:04,68,1324,882.35,,,,
190,00:22:09,67,1329,895.52,638.2202452765961,2.897345113324831,54.871229383355505,24.29949419982537
191,00:22:14,65,1334,923.08,,,,
192,00:22:19,64,1339,937.5,572.99286111799,2.3964352334286207,45.04263560681328,23.659606626363963
193,00:22:24,66,1344,909.09,,,,
194,00:22:34,63,1354,952.38,542.1223074273743,2.157096736055247,41.551470331802875,23.638643474322347
195,00:22:44,65,1364,923.08,,,,
196,00:22:49,67,1369,895.52,555.3482134411935,2.0900230807770255,41.22375226809448,23.711469669287705
197,00:22:54,66,1374,909.09,,,,
198,00:22:59,67,1379,895.52,613.9716075456407,2.2462124130139696,41.23095419309951,23.725645600987832
199,00:23:04,68,1384,882.35,,,,
200,00:23:09,69,1389,869.57,748.6204388742256,2.722608487317871,40.614762365425705,23.795163459863698
201,00:23:14,68,1394,882.35,,,,
202,00:23:19,69,1399,869.57,936.0364169855109,3.464515376056334,40.530960429110515,23.566401974862774
203,00:23:29,69,1409,869.57,,,,
204,00:23:44,70,1424,857.14,1156.7233536761419,4.471253113442459,40.59175509124673,23.495575527910674
205,00:23:49,72,1429,833.33,,,,
206,00:23:54,70,1434,857.14,1375.5308079702818,5.636812653100903,41.1971524179395,23.74050938194641
207,00:23:59,66,1439,909.09,,,,
208,00:24:04,63,1444,952.38,1569.7624469029338,6.963854158245046,41.14651363960108,24.845297670314405
209,00:24:09,61,1449,983.61,,,,
210,00:24:24,63,1464,952.38,1712.2331979393284,8.314723142364425,44.09354153688844,24.9812444339626
211,00:24:29,65,1469,923.08,,,,
212,00:24:34,68,1474,882.35,1780.9635026655644,9.664304756838789,42.885462559935064,25.25885651911149
213,00:24:39,69,1479,869.57,,,,
214,00:24:54,70,1494,857.14,1758.2531620383581,10.39810241704086,42.20633056104939,25.66567428949985
215,00:25:04,72,1504,833.33,,,,
216,00:25:09,71,1509,845.07,1679.9385271944577,10.523966273147272,42.70333466929194,25.878401324309824
217,00:25:14,70,1514,857.14,,,,
218,00:25:24,69,1524,869.57,1553.60690590179,10.051154260455665,43.13516202376347,25.63874901434171
219,00:25:39,69,1539,869.57,,,,
220,00:25:49,70,1549,857.14,1422.7345943330508,9.116866964657264,42.95086312786475,25.557792932720865
221,00:25:59,71,1559,845.07,,,,
222,00:26:04,73,1564,821.92,1322.6147217565226,8.19904179477338,43.23275413812249,25.365008438027857
223,00:26:14,71,1574,845.07,,,,
224,00:26:29,69,1589,869.57,1260.4545099306108,7.563611469193696,43.76143267484626,24.033719297381047
225,00:26:34,68,1594,882.35,,,,
226,00:26:44,69,1604,869.57,1254.7777329929315,7.254208469685148,43.03056010581792,24.19608540610633
227,00:26:49,70,1609,857.14,,,,
228,00:26:59,71,1619,845.07,1296.4781439209166,7.251482722042653,42.74329681019098,24.174797299869876
229,00:27:09,75,1629,800.0,,,,
230,00:27:14,77,1634,779.22,1357.5240170231473,7.45995983860624,44.068555857288295,24.734046311486832
231,00:27:29,77,1649,779.22,,,,
232,00:41:05,70,2465,857.14,1421.647658618662,7.995512879394274,47.70508664274531,24.781022363650678
233,00:41:20,76,2480,789.47,,,,
234,00:41:25,100,2485,600.0,1451.8468652208164,8.494251398500257,48.55961054924017,27.3767834010454
235,00:41:35,96,2495,625.0,,,,
236,00:41:40,94,2500,638.3,1436.755239666633,7.958382053095365,67.96594923690442,38.52303779320014
237,00:41:45,93,2505,645.16,,,,
238,00:41:50,94,2510,638.3,1389.7027091809523,7.211904659021363,80.17811106352086,38.12445045438661
239,00:41:55,95,2515,631.58,,,,
240,00:42:00,94,2520,638.3,1304.50930027149,6.479550895355622,91.02543662905553,37.93211912383079
241,00:42:05,95,2525,631.58,,,,
242,00:42:10,96,2530,625.0,1183.5383170072364,5.41196282584535,98.91562711085997,37.69541308099619
243,00:42:15,93,2535,645.16,,,,
244,00:42:20,88,2540,681.82,1053.8769897389013,4.042521414054742,104.5524676830358,37.08645002571969
245,00:42:35,88,2555,681.82,,,,
246,00:42:40,85,2560,705.88,952.0638614210635,2.81844456843018,105.25264142305699,37.010959766765616
247,00:42:45,83,2565,722.89,,,,
248,00:42:50,81,2570,740.74,967.2100898150132,2.106554372184175,105.25807576056256,37.14853799963336
249,00:42:55,77,2575,779.22,,,,
250,00:43:00,75,2580,800.0,1154.671229421596,1.8984155947191204,104.19366854221862,37.548128435111
251,00:43:05,74,2585,810.81,,,,
252,00:43:10,75,2590,800.0,1540.9958567959136,1.9798343489063635,103.00552758775936,37.60841286690183
253,00:43:15,73,2595,821.92,,,,
254,00:43:20,72,2600,833.33,2142.521060839892,2.2561526742255875,101.98318578419621,37.72837420838808
255,00:43:25,70,2605,857.14,,,,
256,00:43:31,69,2611,869.57,2831.001063597226,2.599626575799007,101.98318578419621,37.61007051418054
