Unnamed: 0,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd,milestone,slope,decrease,kind
744,01:40:12,55,6012,1090.91,2160.3363259487355,14.870322244995544,73.69955873403747,23.55156786669609,start,-0.21,0,BPM
768,01:42:49,53,6169,1132.08,724.6780197536136,4.371332539399722,70.5229133483782,25.19172353559552,stop,0.27,7,BPM
1740,04:01:46,59,14506,1016.95,310.4641840422715,1.6584453717975902,44.308044858969936,28.39277070966181,start,-0.32,0,BPM
1872,04:21:10,56,15670,1071.43,95.36585387352864,1.0260556010700617,21.55341055354799,18.898525317697985,stop,0.25,11,BPM
1878,04:21:55,59,15715,1016.95,131.09854469532976,1.0766844158018944,19.938569330289823,18.497278895302703,start,-0.32,0,BPM
2046,04:43:53,55,17033,1090.91,2837.8856303159487,2.5271832612454377,74.04110897883909,51.12932388780912,stop,0.2,16,BPM
2058,04:45:03,56,17103,1071.43,4752.6236855029765,4.108838172061112,75.89803745385606,54.74158390258053,start,-0.26,0,BPM
2142,04:57:28,51,17848,1176.47,146.8158823693928,0.827300075320356,19.92831100290672,25.832335060808575,stop,0.27,6,BPM
2148,04:58:08,60,17888,1000.0,143.27665234088053,0.7363547369762647,25.93491394759945,27.500941505218904,start,-0.21,0,BPM
2154,04:58:38,62,17918,967.74,217.44282060247903,0.95530662201897,76.75948639213053,31.38500990821539,stop,0.23,13,BPM
2166,05:00:03,66,18003,909.09,1911.507966777279,6.644988901976131,97.39083258810388,35.1471479668562,start,-0.3,0,BPM
2184,05:02:38,50,18158,1200.0,4439.960803928701,11.239105131495313,121.1438922174446,38.00057024276756,stop,0.21,7,BPM
2190,05:03:29,57,18209,1052.63,4820.824830254345,15.489607732857044,121.1438922174446,37.2428337717062,start,-0.47,0,BPM
2292,05:16:11,70,18971,857.14,1668.3812730199177,11.831114407831876,103.17001815489628,30.3957593712528,stop,0.22,3,BPM
2424,05:32:59,59,19979,1016.95,8019.958991716956,17.14519603880474,102.98612894036968,45.330325615510006,start,-0.21,0,BPM
3042,07:04:17,52,25457,1153.85,2106.010063174442,12.702846664037253,65.06628826145264,32.85118573326742,stop,0.27,-6,BPM
3138,07:17:36,71,26256,845.07,360.18016705620494,2.671743046969421,78.07941292984589,28.080982089343657,start,-0.46,0,BPM
3180,07:23:32,49,26612,1224.49,2645.6663128517057,20.43156651765736,127.92373894119056,50.035804527297,stop,0.29,14,BPM
3192,07:25:07,65,26707,923.08,965.0246542931504,7.699036727404876,133.54998123976972,43.93601857896808,start,-0.27,0,BPM
3252,07:32:24,50,27144,1200.0,1318.0253677179044,11.916746135302724,50.07365804736954,34.43023537769186,stop,0.2,5,BPM
3264,07:33:44,81,27224,740.74,488.652767152735,5.893481307711021,115.44073841391965,42.82035320942124,start,-0.21,0,BPM
3498,08:10:56,49,29456,1224.49,2945.7079657798813,39.867357845059445,113.1261416023579,32.92894124366239,stop,0.36,3,BPM
3534,08:15:22,56,29722,1071.43,9818.584532943903,14.616118225416647,120.22494218721154,47.78827891900709,start,-0.22,0,BPM
3612,08:25:39,50,30339,1200.0,1846.0407496157509,6.736794180787787,51.58651663774487,31.88537048585773,stop,0.36,9,BPM
3744,08:43:04,46,31384,1304.35,1017.4354222724838,16.544187788334742,33.19509686501228,24.192289630190416,start,-0.5,0,BPM
3828,08:55:51,49,32151,1224.49,415.3850136290935,3.8268130625893377,57.35668031693944,30.046890395662874,stop,0.23,20,BPM
3924,09:09:35,53,32975,1132.08,4262.722001547881,4.9113868104234335,167.94536060740415,39.74889820062017,start,-0.25,0,BPM
3966,09:15:51,51,33351,1176.47,623.277463004991,2.9140690471709845,52.53728076716727,26.092357548695755,stop,0.23,7,BPM
4044,09:26:02,52,33962,1153.85,784.8774973339467,6.077883766015019,55.21884285167111,25.669377372540158,start,-0.34,0,BPM
4056,09:27:12,55,34032,1090.91,1376.5717008017148,7.043605268534606,87.55145049766391,37.03359553107399,stop,0.22,17,BPM
4062,09:28:02,57,34082,1052.63,2452.377850841114,8.67970999039432,86.28701816162432,38.28355201783187,start,-0.21,0,BPM
4188,09:43:37,76,35017,789.47,213.67464940848703,1.2527573859181629,37.42147969292721,20.777702579683737,stop,0.21,-2,BPM
8898,21:08:07,74,76087,810.81,349.6333886135444,3.44415722565132,45.62271653150748,16.201354629682502,start,-0.37,0,BPM
9348,22:07:05,59,79625,1016.95,643.9258077584709,27.152791040464358,60.8296080529667,16.458309606458396,stop,0.24,7,BPM
518,01:10:46,69,4246,869.57,310.1644339912982,4.493095695872105,62.50027406601135,18.485532291000787,up trend,0.0,,HF
602,01:21:52,73,4912,821.92,712.22493962931,6.035692865518642,66.66748551963096,19.636351598034512,up trend,0.0,,HF
638,01:26:31,68,5191,882.35,2164.963962565997,12.64204792361152,83.05353260029193,23.83368303344608,up trend,0.0,,HF
842,01:52:29,64,6749,937.5,4280.511511077266,6.584281136843691,72.79176430877104,36.96842571708999,up trend,0.0,,HF
854,01:54:06,67,6846,895.52,4001.536982552576,6.605428325543636,66.62959890441533,35.73828813437362,up trend,0.0,,HF
890,01:58:41,68,7121,882.35,3563.936899149158,8.527672385571261,58.56304857439143,30.305320069086815,up trend,0.0,,HF
1022,02:13:43,79,8023,759.49,1140.6355909997949,3.5584221055426317,53.96733377985356,39.48543428162039,up trend,0.0,,HF
1082,02:21:58,61,8518,983.61,1056.4663869170313,6.44010245453344,54.24223186704589,27.573459991781373,up trend,0.0,,HF
1250,02:51:06,58,10266,1034.48,38.164885330963415,0.407907802571603,12.218993084538528,15.31199876314158,up trend,0.0,,HF
1370,03:10:05,69,11405,869.57,1661.957387406875,17.364353309195476,125.20058974888812,27.39557449736758,up trend,0.0,,HF
1526,03:33:14,58,12794,1034.48,34.530552969532984,0.3617441656467123,16.209389236753232,13.442330413242193,up trend,0.0,,HF
1742,04:02:06,63,14526,952.38,319.92076548914525,1.5678180918465816,43.72773330087732,28.4078869474012,up trend,0.0,,HF
1754,04:03:17,56,14597,1071.43,666.9034807575594,1.2642051232090867,59.28067072832425,37.10082137822256,up trend,0.0,,HF
1910,04:27:01,56,16021,1071.43,3599.628630911985,9.392293534156378,62.84200565298496,35.60515566886459,up trend,0.0,,HF
1934,04:30:16,61,16216,983.61,315.6296548496796,2.7891941272374017,62.67777916992168,33.23320149538186,up trend,0.0,,HF
1982,04:36:22,57,16582,1052.63,1779.1466027955478,1.813786726742777,96.90519986490482,39.709690227439246,up trend,0.0,,HF
2102,04:51:11,53,17471,1132.08,2106.5477517845943,3.39351860582559,68.62609758239026,43.457900434835565,up trend,0.0,,HF
2126,04:54:47,52,17687,1153.85,219.7444055510812,1.216097821897611,36.72958231703259,36.20537624977479,up trend,0.0,,HF
2198,05:04:19,57,18259,1052.63,3859.0042101834433,22.609528912153483,130.87668764270634,49.97335400194869,up trend,0.0,,HF
2270,05:13:26,52,18806,1153.85,3707.437297605197,5.0112603991838505,77.31642265550634,45.22197910173272,up trend,0.0,,HF
2330,05:21:07,59,19267,1016.95,2467.1143198602044,3.3618959748941557,82.91751588076391,31.225463837015056,up trend,0.0,,HF
2342,05:22:52,67,19372,895.52,673.7016365955395,2.481399283767668,84.74593743293987,30.495069223380614,up trend,0.0,,HF
2486,05:40:45,54,20445,1111.11,3025.8123341562023,29.96924762154009,110.06998897899794,36.87069988763547,up trend,0.0,,HF
2690,06:10:55,53,22255,1132.08,131.90727279772895,1.4256440007036313,15.673912390741902,18.75298066104343,up trend,0.0,,HF
4202,09:44:52,70,35092,857.14,967.4077717454796,4.180370424060174,61.82860398236534,29.40824499131813,up trend,0.0,,HF
5990,13:31:30,70,48690,857.14,330.8291370029863,4.445329237202503,27.37676188422047,16.010179351186014,up trend,0.0,,HF
830,01:51:09,66,6669,909.09,1620.2311327333423,10.836289108426168,76.82371318141027,37.08587092747021,up trend,0.82,,SDNN
1730,04:00:46,63,14446,952.38,276.68928164872705,2.0149381578030026,33.206606842614946,22.774521836867624,up trend,0.58,,SDNN
1898,04:24:55,55,15895,1090.91,2056.7128413110977,5.784817308497764,63.22954171645932,36.01471796646588,up trend,0.52,,SDNN
1970,04:35:17,57,16517,1052.63,804.6180095581793,1.1116861009617067,98.83262214079164,45.38751154317268,up trend,0.89,,SDNN
2330,05:21:07,59,19267,1016.95,2467.1143198602044,3.3618959748941557,82.91751588076391,31.225463837015056,up trend,0.82,,SDNN
2486,05:40:45,54,20445,1111.11,3025.8123341562023,29.96924762154009,110.06998897899794,36.87069988763547,up trend,0.53,,SDNN
2690,06:10:55,53,22255,1132.08,131.90727279772895,1.4256440007036313,15.673912390741902,18.75298066104343,up trend,0.8,,SDNN
2834,06:36:19,56,23779,1071.43,154.12222600970478,1.769408046704225,18.93715764720513,17.51592919345708,up trend,0.55,,SDNN
4190,09:43:47,63,35027,952.38,235.2742324644748,1.6278072963900432,38.76043044821113,23.644534079502076,up trend,0.72,,SDNN
5978,13:29:30,72,48570,833.33,568.97553980477,20.617435141387432,26.90744417518722,15.287892167947009,up trend,0.84,,SDNN
326,00:43:33,82,2613,731.71,249.98277639720823,2.306848428681536,56.21684880706068,13.6036857250571,up trend,0.12,,rMSSD
506,01:09:26,62,4166,967.74,537.704930154946,14.313840164747466,55.91456503653132,12.541675098873927,up trend,0.11,,rMSSD
890,01:58:41,68,7121,882.35,3563.936899149158,8.527672385571261,58.56304857439143,30.305320069086815,up trend,0.13,,rMSSD
962,02:06:56,85,7616,705.88,666.3435992703037,1.9423539930581957,54.97881173168961,24.680117214354677,up trend,0.14,,rMSSD
1058,02:18:18,60,8298,1000.0,3839.868222882613,5.875955133669134,77.88620683839645,45.25808726918657,up trend,0.13,,rMSSD
1070,02:20:18,60,8418,1000.0,4078.32425711356,15.479846857287402,76.39428599318255,44.01798322207386,up trend,0.15,,rMSSD
1142,02:31:54,59,9114,1016.95,359.9963025157066,1.619858265696235,23.532455435341365,23.252869342364228,up trend,0.16,,rMSSD
1238,02:48:51,59,10131,1016.95,33.336876308570126,0.3596669018549854,14.930882704198403,15.27570974335614,up trend,0.11,,rMSSD
1454,03:20:51,58,12051,1034.48,896.5448789002342,8.672820691954973,154.68372694129454,35.75013552136436,up trend,0.18,,rMSSD
1730,04:00:46,63,14446,952.38,276.68928164872705,2.0149381578030026,33.206606842614946,22.774521836867624,up trend,0.18,,rMSSD
1742,04:02:06,63,14526,952.38,319.92076548914525,1.5678180918465816,43.72773330087732,28.4078869474012,up trend,0.19,,rMSSD
1898,04:24:55,55,15895,1090.91,2056.7128413110977,5.784817308497764,63.22954171645932,36.01471796646588,up trend,0.25,,rMSSD
2186,05:02:58,51,18178,1176.47,4581.21012114805,12.345749482190518,121.1438922174446,38.53078790170961,up trend,0.26,,rMSSD
2330,05:21:07,59,19267,1016.95,2467.1143198602044,3.3618959748941557,82.91751588076391,31.225463837015056,up trend,0.2,,rMSSD
3974,09:17:01,60,33421,1000.0,200.1636222250549,1.0554644383999243,73.38702628933697,36.40587892646136,up trend,0.15,,rMSSD
