,time,value,RRI,hf,lf/hf,sdnn,rmssd
50,00:07:57,65,923.08,393.06258181871266,7.076821979787151,43.94207833974545,18.190400361347812
52,00:08:27,65,923.08,307.66272318511574,4.853716479252675,42.126517902283695,17.893073394758215
54,00:08:47,66,909.09,262.56032967387193,3.7290432599501666,41.38695812569412,17.893073394758215
56,00:08:57,69,869.57,255.16955332865646,3.3189678171332875,41.01097577130159,17.205822638079866
58,00:09:07,71,845.07,284.27646130816447,3.4905744798956584,42.10789485139725,17.462755410604952
60,00:09:17,70,857.14,333.15334107776107,3.938716040917491,43.80285212454662,15.896006814702282
62,00:09:37,67,895.52,387.66419947048274,4.4927076228557015,42.49340673947584,16.18444321071369
64,00:09:52,67,895.52,450.14881508382666,5.47270747430878,38.57888813634647,16.640857758504385
66,00:10:02,65,923.08,508.9637053909164,6.6894156797094295,34.38584289844781,15.755323946306568
68,00:10:32,65,923.08,564.8113077882537,8.17345205674357,33.40998510405326,15.663700529750761
70,00:10:57,66,909.09,611.8947032706393,10.209360162627966,33.284921295888154,15.160818592944223
72,00:11:07,68,882.35,647.9438812546144,12.804250892861894,33.41856298587383,15.153025831058782
74,00:11:17,64,937.5,674.7878092269955,15.937188898533908,33.8698171840598,15.254489536539992
76,00:11:38,66,909.09,691.5037086788258,18.849632456807587,34.113513987442396,16.275967384020962
78,00:11:58,67,895.52,699.7673303881946,20.91481294198537,33.995187189377496,16.21815825372465
80,00:12:18,66,909.09,698.4433838994661,20.780686255415002,33.77159198413449,15.47515342312921
82,00:12:48,66,909.09,683.5606706667062,18.119985262010516,33.543902636420114,15.475153423129209
84,00:13:13,68,882.35,655.132176220634,14.298086103715693,33.585140691462136,15.805985368504796
86,00:13:23,66,909.09,615.6149256854706,10.725413655928765,33.93156848416999,15.78370510807825
88,00:13:38,65,923.08,555.4098488324283,7.7125550133814995,33.75170853060173,16.412050699509347
90,00:13:53,65,923.08,481.49432265955915,5.448018536074333,33.59508602064733,16.6686114647641
92,00:14:18,66,909.09,397.4481100468435,3.8018246831156275,32.49737879790759,15.562290241189446
94,00:14:43,65,923.08,314.68564358481075,2.65564299478553,26.91881383580136,15.642607369173541
96,00:15:03,62,967.74,240.35827776486227,1.8429451547339821,23.928931678311635,14.841433865488648
98,00:15:28,61,983.61,186.9132748628462,1.3600873262715227,27.279175076551393,16.058474652446453
100,00:15:43,61,983.61,153.97768170857253,1.126925448756707,32.00518904101365,16.104738686587407
102,00:16:03,63,952.38,135.54187670809276,1.017194914971596,34.45431792554143,16.431215191003403
104,00:16:23,64,937.5,134.5099664446523,1.081688441388751,35.01230936253647,16.592892933975293
106,00:16:38,67,895.52,149.20192079091444,1.3239449346534231,35.07268590356028,16.188475177465865
108,00:16:48,69,869.57,179.16899295754502,1.801778427092055,33.87994260410047,16.58255931602199
110,00:17:08,72,833.33,224.99125581265557,2.6785193429600858,32.99683486119756,17.05094688854312
112,00:17:18,73,821.92,292.74537205526985,4.161185276100538,35.97136158169185,16.6281574568009
114,00:17:38,67,895.52,374.16341531931045,6.329894216785572,39.43934589017544,16.730711159970678
116,00:17:53,71,845.07,485.49436530503,9.961559276226494,39.901214065719444,18.38070089267877
118,00:18:03,73,821.92,603.82891066472,13.88913380599743,42.31967825385968,18.785978107870445
120,00:18:13,74,810.81,739.6616663138251,18.167541475608942,46.00507781911533,18.817401737840033
122,00:18:23,78,769.23,864.6915165589844,22.278859745747358,49.995472593393245,18.68640130890779
124,00:18:33,69,869.57,977.6197960478669,23.155851823918752,55.06153062655247,18.663351953024108
126,00:18:43,62,967.74,1073.4913913820467,22.209924055089722,54.669943345013074,22.114678614080773
128,00:18:53,63,952.38,1143.7781438866248,19.468027806044887,56.15376051921171,23.039536471386015
130,00:19:13,64,937.5,1173.8912454276524,16.034691607225447,57.20777573664873,22.95783486378132
132,00:19:23,66,909.09,1190.2309472894146,13.147049571091179,57.537136634365396,23.14788203825876
134,00:19:33,69,869.57,1220.6250232231916,11.041964097541166,57.537136634365396,23.233999453650778
136,00:20:03,70,857.14,1292.1655362610036,9.65421526887231,57.690625192858306,23.220408335455815
138,00:20:18,70,857.14,1410.6772500793597,9.005562753923142,57.821880897904286,23.121315062168964
140,00:20:28,73,821.92,1582.9658140270294,8.892548589094725,58.05652398292195,23.070204434574507
142,00:20:38,74,810.81,1819.6478839750298,9.18744045174631,59.66281778871826,23.274369190688926
144,00:20:58,76,789.47,2061.811326038549,9.69624583660766,61.60752597181084,23.239767465203574
146,00:21:08,74,810.81,2297.8686715824074,10.461183685261707,63.56251573603642,22.447898406246026
148,00:21:23,78,769.23,2491.978526291824,11.398691720129836,62.52702424927471,22.836788392452046
150,00:21:33,78,769.23,2600.2204909785955,12.327444692321471,60.64514336629412,22.640474052150992
152,00:21:43,74,810.81,2580.6160174738525,13.234331477213946,58.23480930978429,22.6052338620768
154,00:22:03,73,821.92,2444.750320743036,14.231545181993813,55.819649953932824,22.710608192864314
156,00:22:13,68,882.35,2211.282761077866,15.146885011900874,53.45246116820792,22.387562463591795
158,00:22:23,67,895.52,1906.2989848494358,15.635321656113618,53.74199444891248,23.62122679079223
160,00:22:43,66,909.09,1587.0825554627754,15.871943026555915,54.76273761027136,23.209387439269534
162,00:22:58,69,869.57,1323.9820044313356,15.525539192989834,55.59804954771529,23.23309760857979
164,00:23:18,70,857.14,1103.3997802094814,14.835069523086421,55.812321893492815,22.458462520295328
166,00:23:28,69,869.57,987.693046003606,14.055151943958379,55.494811827736825,22.80397047419056
