,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd
50,00:06:35,70,395,857.14,604.8573114545758,8.858748353143593,27.20553462598585,16.08504077503984
52,00:06:45,77,405,779.22,540.2879343104441,8.646537495589241,27.702939407144484,18.699282481050517
54,00:06:55,72,415,833.33,456.1525936143511,7.378864508358814,28.94261586135503,19.22639214990792
56,00:07:05,70,425,857.14,364.45570546647167,5.8756000319360515,27.96812340023214,19.084794888035024
58,00:07:20,71,440,845.07,282.5788269035771,4.229313941920121,27.855784597656207,19.1209167443106
60,00:07:50,72,470,833.33,221.72304026310186,2.9367752460723917,27.59204064839818,18.355681209180474
62,00:08:00,70,480,857.14,185.22151573472394,2.094665014028216,27.5996601199126,18.35992758200115
64,00:08:10,69,490,869.57,176.44926431350405,1.6802075518887172,27.425371081149944,18.088423685566724
66,00:08:20,73,500,821.92,189.3510967989398,1.522467762850401,27.811262896128092,17.881481813226063
68,00:08:35,73,515,821.92,215.66848523376024,1.4550153526975307,27.492275041902076,18.327759140223357
70,00:08:50,74,530,810.81,241.38918075490938,1.427739317021911,23.83169116610768,17.746361455181713
72,00:09:00,71,540,845.07,269.18392094668025,1.4426767789871624,21.310085592488452,19.60381251966369
74,00:09:10,73,550,821.92,288.7136056604346,1.4224599705085608,21.233896437497467,20.18293045205907
76,00:09:20,69,560,869.57,295.969014489358,1.3798138949560714,21.507042001946004,20.713731076318464
78,00:09:31,67,571,895.52,290.1990919122489,1.3324137557405096,21.507042001946008,20.709383952051056
80,00:09:41,67,581,895.52,271.1753871624174,1.2442447082915358,22.92207553732375,20.732385491381976
82,00:09:51,67,591,895.52,246.34831648086472,1.1700297438282519,25.462039533071064,20.8364219479218
84,00:10:06,71,606,845.07,223.40581896688758,1.1042867581334994,26.410229740363405,21.182169051215844
86,00:10:16,80,616,750.0,206.43909305668853,1.0498052121034565,30.52473357051656,26.027800560954375
88,00:10:26,79,626,759.49,211.42580598247042,1.1012155593888953,34.435021271362444,26.55869395301276
90,00:10:36,73,636,821.92,241.64554635986718,1.2635286690311667,36.97089340747582,27.40568900421807
92,00:10:46,64,646,937.5,296.74444246209043,1.53890759290194,37.113883601142895,28.690658011674426
94,00:11:01,67,661,895.52,422.74290874971217,2.093421566327513,41.03826870279068,29.555471505600583
96,00:11:11,70,671,857.14,593.8819685136456,2.7874246556908315,41.435152691049815,29.776609091358814
98,00:11:21,73,681,821.92,816.6264342895186,3.6106125252524817,41.570007681166544,30.454536205797073
100,00:11:46,73,706,821.92,1093.2962747632016,4.597983419745772,41.757265445790445,30.447079280855405
102,00:12:01,72,721,833.33,1380.5810714428555,5.598511158821747,41.367920540398636,28.87812105228117
104,00:12:13,66,733,909.09,1701.1951202639948,6.739779400323315,40.43642127526892,29.370393325279686
106,00:12:28,67,748,895.52,2044.708980747036,8.019280038513438,42.30931245202722,29.519932836879534
108,00:12:53,69,773,869.57,2318.666865168635,9.17325391523797,42.776791402033204,29.847339778223716
110,00:13:13,71,793,845.07,2524.3529172944545,10.237199365345695,42.811434694149526,29.905805558828376
112,00:13:33,72,813,833.33,2644.661816750538,11.099851265231578,42.93420539450036,30.041331392545434
114,00:13:43,74,823,810.81,2665.7914126062738,11.692611209671117,43.14953965086573,30.077270996755107
116,00:13:53,71,833,845.07,2590.7441888195526,11.934344732691693,43.40123835579266,29.81682120096999
118,00:14:13,70,853,857.14,2435.8150252632695,11.802387249012398,43.217459637398925,29.824737985745465
120,00:14:33,70,873,857.14,2225.437851892108,11.337283357368376,43.022412812915306,29.60587927684471
122,00:14:43,68,883,882.35,1975.2599740708463,10.65112008283408,42.67174252168214,28.23025356468715
124,00:14:58,70,898,857.14,1714.701181984546,9.89573147004861,42.58116008091766,27.877242089751505
126,00:15:13,68,913,882.35,1471.8284180908004,9.063328881805472,42.35992152822703,27.41943385741626
128,00:15:23,69,923,869.57,1250.5815114136976,8.334928751986196,42.5005488795289,27.53039474279071
130,00:15:38,69,938,869.57,1071.7713434471827,7.718086531478774,41.918294785870074,27.51961993982936
132,00:15:48,69,948,869.57,907.3061153035846,7.160751993082505,40.78388515087793,27.440235503541082
134,00:16:13,67,973,895.52,777.0358697249807,6.796966576341327,40.36717523899228,26.962448262843854
136,00:16:33,67,993,895.52,665.1520261280473,6.399953129090043,38.075768524544515,22.733869904095236
138,00:16:43,78,1003,769.23,557.8270810691781,5.935221885570352,34.17494318046126,21.68483943275786
140,00:16:53,85,1013,705.88,466.1919190627653,5.243536780947866,38.5355671751462,27.380304369143513
142,00:17:08,78,1028,769.23,397.55048501725787,4.676520257267277,47.50686767495532,24.908458156921366
144,00:17:18,74,1038,810.81,342.93416609026264,4.26397538585606,46.55485468624237,25.764962603488954
146,00:17:28,68,1048,882.35,323.92165131363157,3.660132346551929,46.13094124824444,25.94756403965192
148,00:17:38,65,1058,923.08,384.07422087848875,3.5472088557956507,47.02501466154336,25.882565600048558
150,00:17:58,66,1078,909.09,523.0402094142896,3.735008355777659,49.071650298521746,25.959612666523338
152,00:18:08,69,1088,869.57,787.7427428657836,4.175385689136399,49.56933878509816,25.86087404018761
154,00:18:23,69,1103,869.57,1155.6440258845403,4.722347667009574,49.52370926070438,24.94450919091235
156,00:18:33,70,1113,857.14,1619.5678608695102,5.341534313821955,48.30841302865309,24.99913745450807
158,00:18:44,68,1124,882.35,2078.505666600762,5.864868169921607,47.92302915752148,24.32574746633531
160,00:18:59,63,1139,952.38,2599.483298794137,6.482115990282224,49.07424444447331,25.148394154924265
162,00:19:14,64,1154,937.5,3022.0057648294546,7.172315242827564,53.1283576548536,25.321586217522565
164,00:19:24,66,1164,909.09,3295.37347391044,7.8877146518049015,54.25721191600209,25.906393190933887
166,00:19:44,67,1184,895.52,3403.88798438224,8.489033588354314,54.28176171475226,25.651089486349985
168,00:19:54,66,1194,909.09,3322.4095672705675,9.223192617175801,54.37096062406543,25.735249430796397
170,00:20:09,68,1209,882.35,3105.276373016132,10.005397625225799,54.7628121104541,26.08933733250003
172,00:20:19,71,1219,845.07,2765.9227683830586,10.750622491783567,54.79278767114803,26.280737999453486
174,00:20:29,65,1229,923.08,2369.735218362237,11.322596743695266,55.163557485805754,27.7634300283444
176,00:20:39,67,1239,895.52,1962.639361290028,11.261375493778162,55.857528688473806,27.673567437066684
178,00:20:54,67,1254,895.52,1577.7633597251254,10.530930874470712,56.16126932725951,27.74903999074857
180,00:21:09,68,1269,882.35,1289.6620189710497,9.138487495986155,56.20244167874792,27.950024424070232
182,00:21:29,70,1289,857.14,1071.7965340756448,7.350641133528274,56.2120544443729,28.069027959875005
184,00:21:39,78,1299,769.23,923.9607106188872,5.899044801629425,56.73372262146911,28.33012278728875
186,00:21:49,75,1309,800.0,802.7880252560324,4.443619932638915,59.76120829174889,29.347750739526663
188,00:21:59,70,1319,857.14,721.8103254727066,3.647752299561918,60.657079196857794,24.803696523391224
190,00:22:09,67,1329,895.52,638.2202452765961,2.897345113324831,54.871229383355505,24.29949419982537
192,00:22:19,64,1339,937.5,572.99286111799,2.3964352334286207,45.04263560681328,23.659606626363963
194,00:22:34,63,1354,952.38,542.1223074273743,2.157096736055247,41.551470331802875,23.638643474322347
196,00:22:49,67,1369,895.52,555.3482134411935,2.0900230807770255,41.22375226809448,23.711469669287705
198,00:22:59,67,1379,895.52,613.9716075456407,2.2462124130139696,41.23095419309951,23.725645600987832
200,00:23:09,69,1389,869.57,748.6204388742256,2.722608487317871,40.614762365425705,23.795163459863698
202,00:23:19,69,1399,869.57,936.0364169855109,3.464515376056334,40.530960429110515,23.566401974862774
204,00:23:44,70,1424,857.14,1156.7233536761419,4.471253113442459,40.59175509124673,23.495575527910674
206,00:23:54,70,1434,857.14,1375.5308079702818,5.636812653100903,41.1971524179395,23.74050938194641
208,00:24:04,63,1444,952.38,1569.7624469029338,6.963854158245046,41.14651363960108,24.845297670314405
210,00:24:24,63,1464,952.38,1712.2331979393284,8.314723142364425,44.09354153688844,24.9812444339626
212,00:24:34,68,1474,882.35,1780.9635026655644,9.664304756838789,42.885462559935064,25.25885651911149
214,00:24:54,70,1494,857.14,1758.2531620383581,10.39810241704086,42.20633056104939,25.66567428949985
216,00:25:09,71,1509,845.07,1679.9385271944577,10.523966273147272,42.70333466929194,25.878401324309824
218,00:25:24,69,1524,869.57,1553.60690590179,10.051154260455665,43.13516202376347,25.63874901434171
