,time,value,RRI,ratio,sdnn,rmssd
100,00:14:08,78,769.23,3.3397839589790395,23.27151220946225,14.06483529655401
200,00:27:28,72,833.33,4.343523938754915,38.420911604557915,18.699597575748786
300,00:42:09,97,618.56,8.829631683282244,111.22080571343412,14.647384121957117
400,00:56:35,76,789.47,4.397657272072891,44.16299203410069,15.821444020982751
500,01:11:36,74,810.81,6.448782474827804,51.78376699304427,16.37425865389474
600,01:23:27,81,740.74,6.512185111172587,66.52482235932236,23.406731829742803
700,01:38:23,79,759.49,27.15315407107214,57.40758259985868,17.739107939945864
800,01:51:38,76,789.47,3.155762326771906,31.135494782377137,15.233929866975211
900,02:06:11,77,779.22,4.172358571733028,26.303995240574423,14.474663723174702
1000,02:21:59,76,789.47,6.312598156550464,13.340068391386474,8.1698003264301
1100,02:35:56,72,833.33,1.13476122763492,19.683037154521212,11.464476006386422
1200,02:52:08,71,845.07,2.7430332953786127,25.275046313938134,12.752515774773967
1300,03:07:05,70,857.14,2.681405837984121,20.412502505706037,12.973500263649335
1400,03:20:37,69,869.57,2.929566892912434,33.12733946928325,18.41062541802501
1500,03:35:20,76,789.47,4.109453826665505,41.238341429163754,20.42450043897814
1600,03:48:22,70,857.14,7.759649525881811,44.49602342418541,15.548728227573783
1700,04:02:59,76,789.47,18.70837086346524,45.98051555668538,12.181903866727142
1800,04:16:11,73,821.92,3.5187038312686045,80.22322601392199,20.773865015368898
1900,04:31:08,72,833.33,1.3137920843276598,12.365250378754718,11.299997765263052
2000,04:47:25,74,810.81,12.047474644095942,37.764909282576234,10.276981536178297
2100,05:05:58,68,882.35,10.821893202400831,64.1053916466604,18.375233689161977
2200,05:21:56,67,895.52,7.028905847847509,28.323346561528428,13.687292344257559
2300,05:39:14,84,714.29,4.880734842873603,55.91437498433556,8.768951021656017
2400,05:55:01,65,923.08,7.14802351467471,104.74334009348469,24.20312708321098
2500,06:12:39,68,882.35,1.889929220953616,23.063537288818623,14.769082810747157
2600,06:26:21,67,895.52,5.621382825171583,36.63888330459978,20.61824939418495
2700,06:39:38,78,769.23,2.1189991729066544,38.70037434880151,22.972010527526052
2800,06:54:05,60,1000.0,5.164911126380853,58.88315220756266,23.23340485185289
2900,07:07:37,68,882.35,3.164886598759156,53.59138475642434,21.76400343352632
3000,07:22:30,67,895.52,3.017405239590209,46.56536352474788,16.899741824577497
3100,07:37:37,68,882.35,4.259313280993405,37.40450660419184,14.963872554194717
3200,07:50:54,86,697.67,5.407971083106202,25.519575731092207,17.346737474525327
3300,08:04:11,72,833.33,2.3351134363275183,54.114506277770566,24.37069307196825
3400,08:18:03,76,789.47,4.722659208006921,59.4978880192186,16.532061717960797
3500,08:30:15,59,1016.95,1.8290036026368366,41.816862431272384,16.374092958146427
3600,08:46:12,64,937.5,9.694379283027544,42.42338832209508,16.79804158258043
3700,09:02:19,63,952.38,24.767580752828824,46.95544561785904,14.677989362210742
3800,09:15:36,68,882.35,10.038152703251717,28.94580170252709,12.104547521781667
3900,09:30:39,71,845.07,1.421414099376632,15.118492676122838,9.780955108182578
4000,09:45:41,70,857.14,1.6929616248117345,16.837125340668283,10.881786840794346
4100,09:57:33,71,845.07,5.431734590292337,54.564134744761105,19.785691059628686
4200,10:10:30,68,882.35,4.125017101945088,35.17300941565188,17.89693580228501
4300,10:23:29,69,869.57,1.8201923240387692,42.28227396804825,22.066381738524854
4400,10:39:51,73,821.92,3.990520679436151,17.90385247494084,10.716413352960755
4500,10:53:58,71,845.07,7.079413037857528,42.27819701009308,16.74225546877775
4600,11:05:55,80,750.0,4.531174006926815,48.79458217938347,26.26172951984956
4700,11:18:22,86,697.67,1.3378270621984842,51.76781210258832,20.641467652971947
4800,11:30:19,87,689.66,5.895852291927937,44.15141331162732,15.038401215259265
4900,11:43:31,74,810.81,5.321707788519711,34.55631955170567,13.108131873463938
5000,11:58:47,96,625.0,6.552612454970775,54.36257570500894,14.856173528846247
5100,12:12:16,87,689.66,6.82618334136751,37.874259840886,11.572442100162618
5200,12:25:26,85,705.88,3.9831020691891226,19.257413019458767,10.748998684867018
5300,12:37:52,91,659.34,2.7013367887059294,31.649658059812126,12.739301750524215
5400,12:51:43,96,625.0,0.9122528688311858,23.33375957424536,11.307848619611088
5500,13:04:33,94,638.3,2.650697935057972,41.609758337304605,12.39995438245112
5600,13:14:40,94,638.3,6.387867870892454,60.91191132092043,14.509939261545428
5700,13:25:20,107,560.75,1.8883072286073959,27.63953534524432,14.339007967601853
5800,13:35:40,133,451.13,1.7470893364400735,34.73352525669652,15.833196107858292
5900,13:40:32,110,545.45,5.6451242402922714,29.40335362082896,5.690658391547759
6000,13:51:58,109,550.46,29.63000475829374,55.19950196708429,15.029149286730377
6100,14:05:39,95,631.58,4.232509513471311,22.59911062789235,9.40893203398781
6200,14:14:49,114,526.32,9.148363635715377,82.35882917342973,9.556558169152952
6300,14:27:06,95,631.58,1.7141854965491803,31.162294361272334,12.1610336482529
6400,14:38:37,99,606.06,5.578850045045601,47.46052461485408,10.564950534573265
6500,14:52:03,91,659.34,17.621347084451216,31.53138236324843,11.607584293526076
6600,15:02:54,135,444.44,4.193585897268487,73.56089827112325,9.965325135212847
6700,15:10:14,108,555.56,6.678262311555529,64.29352944366356,12.838284601735214
6800,15:19:36,101,594.06,11.118268060254868,54.317783826647265,16.97805975756102
6900,15:32:42,88,681.82,2.378413550709582,35.80254068900529,13.258358979462086
7000,15:44:48,95,631.58,5.615245169934567,46.713140452222774,13.731022900679683
7100,15:55:18,105,571.43,8.404276489329026,28.79305745445867,13.376147019635702
7200,16:07:09,96,625.0,3.237179719238201,26.984508484339937,11.15173705724536
7300,16:18:05,98,612.24,0.7051963668612081,14.985939690054126,12.721405566837323
7400,16:29:25,97,618.56,1.1898592002059107,17.994405733084623,11.946888948824942
7500,16:42:26,97,618.56,2.095501314304416,17.83290416107769,10.328887411116213
7600,16:52:52,99,606.06,3.4835003079140274,24.269396623831604,15.210597116696796
7700,17:05:47,94,638.3,3.7138795894545575,67.16638952766345,21.659996549054448
7800,17:16:58,96,625.0,5.975765138907127,24.708813472569307,13.106681078323717
7900,17:31:39,95,631.58,4.705694498305007,18.476027705864663,9.836884001994068
8000,17:45:30,90,666.67,5.783295047725986,13.759328991743393,8.266749877391572
8100,17:56:31,99,606.06,2.636694007961607,25.702774852163536,13.751730873610128
8200,18:07:46,87,689.66,2.8899974183345263,26.270605479943324,14.855616425915803
8300,18:20:07,86,697.67,0.5726477317411026,24.456113307124433,14.776043469280287
8400,18:32:03,90,666.67,3.554143045040439,27.348997333383434,13.983291111288157
8500,18:44:13,88,681.82,2.1551649834745255,27.92101534632467,17.834902196637827
8600,18:56:59,88,681.82,5.960933456084459,23.01602265155667,15.395908777032524
8700,19:11:15,91,659.34,4.785116723434076,37.33062171902972,14.51679125298798
8800,19:24:01,89,674.16,1.0651319429660429,28.653805827392976,17.070724630019065
8900,19:35:01,90,666.67,2.451660530215632,26.06567264069971,14.49484690739047
9000,19:47:52,88,681.82,4.026999932916372,35.91916786214697,15.274915000838083
9100,20:00:28,87,689.66,2.8322311149707207,21.77054500136746,11.875254085532632
9200,20:14:29,88,681.82,8.853866508523224,24.39679058707303,10.348861158249608
9300,20:29:19,85,705.88,1.1302946086213637,20.7151426044141,13.368520879478428
9400,20:42:00,113,530.97,2.6138004784407345,75.87821003270751,12.710967665362809
9500,20:53:06,102,588.24,1.7592797858334936,28.7143329894724,11.948403849278549
9600,21:03:56,94,638.3,1.2790159065389322,28.796572480527313,15.191631202272484
9700,21:14:52,86,697.67,6.613009779219103,67.25327913119916,15.278678548284802
9800,21:25:48,86,697.67,2.6762711616538297,27.872666610857312,14.448951484100817
9900,21:37:43,83,722.89,12.167189566802909,25.035900077426188,12.54246999340056
10000,21:48:19,87,689.66,6.501416257352054,34.35486501945614,15.39102942849136
10100,22:02:15,88,681.82,3.9991609292585153,24.251261672687708,12.347980573455091
10200,22:13:50,89,674.16,1.085074632445144,17.87110526164309,12.838176811307125
10300,22:25:36,81,740.74,3.113379073842128,39.04954902919929,15.671506409127142
10400,22:38:37,97,618.56,3.147547388646166,56.65467925578397,9.982982894643644
10500,23:13:27,91,659.34,4.03466775797717,34.51876364275295,33.14407988333861
10600,23:28:08,89,674.16,2.4324220790464355,15.33933119681742,9.608027788250705
10700,23:40:54,90,666.67,2.743550410084113,16.419773025596946,10.131808098929595
