,time,value,RRI,ratio,sdnn,rmssd,hf
0,00:00:14,69,869.57,,,,
1,00:00:24,69,869.57,,,,
2,00:00:29,70,857.14,,,,
3,00:00:39,69,869.57,,,,
4,00:00:44,68,882.35,,,,
5,00:00:50,68,882.35,,,,
6,00:01:05,68,882.35,,,,
7,00:01:10,67,895.52,,,,
8,00:01:15,66,909.09,,,,
9,00:01:25,67,895.52,,,,
10,00:01:30,68,882.35,,,,
11,00:01:40,69,869.57,,,,
12,00:01:45,70,857.14,,,,
13,00:01:55,69,869.57,,,,
14,00:02:00,68,882.35,,,,
15,00:02:05,67,895.52,,,,
16,00:02:20,69,869.57,,,,
17,00:02:25,70,857.14,,,,
18,00:02:30,70,857.14,,,,
19,00:02:35,70,857.14,,,,
20,00:02:45,66,909.09,,,,
21,00:02:50,66,909.09,,,,
22,00:02:55,65,923.08,,,,
23,00:03:10,66,909.09,,,,
24,00:03:25,67,895.52,,,,
25,00:03:40,68,882.35,,,,
26,00:03:55,68,882.35,,,,
27,00:04:05,67,895.52,,,,
28,00:04:20,68,882.35,,,,
29,00:04:35,68,882.35,,,,
30,00:04:45,69,869.57,,,,
31,00:04:50,70,857.14,,,,
32,00:04:55,71,845.07,,,,
33,00:05:00,72,833.33,,,,
34,00:05:05,73,821.92,,,,
35,00:05:10,74,810.81,,,,
36,00:05:15,73,821.92,,,,
37,00:05:25,74,810.81,,,,
38,00:05:40,74,810.81,,,,
39,00:05:55,74,810.81,,,,
40,00:06:00,75,800.0,,,,
41,00:06:10,74,810.81,,,,
42,00:06:15,73,821.92,,,,
43,00:06:20,72,833.33,,,,
44,00:06:30,73,821.92,,,,
45,00:06:35,75,800.0,,,,
46,00:06:40,74,810.81,,,,
47,00:06:45,68,882.35,,,,
48,00:06:50,67,895.52,,,,
49,00:06:55,67,895.52,,,,
50,00:07:00,67,895.52,3.595899787813918,34.069197336944626,17.039807354952046,382.6134747381791
51,00:07:15,68,882.35,,,,
52,00:07:20,67,895.52,,,,
53,00:07:25,65,923.08,,,,
54,00:07:30,63,952.38,,,,
55,00:07:35,62,967.74,,,,
56,00:07:45,63,952.38,,,,
57,00:07:50,64,937.5,,,,
58,00:07:55,63,952.38,,,,
59,00:08:00,63,952.38,,,,
60,00:08:05,65,923.08,,,,
61,00:08:10,66,909.09,,,,
62,00:08:15,67,895.52,,,,
63,00:08:25,67,895.52,,,,
64,00:08:40,67,895.52,,,,
65,00:08:50,68,882.35,,,,
66,00:09:00,69,869.57,,,,
67,00:09:05,70,857.14,,,,
68,00:09:10,73,821.92,,,,
69,00:09:15,74,810.81,,,,
70,00:09:20,75,800.0,,,,
71,00:09:25,73,821.92,,,,
72,00:09:30,74,810.81,,,,
73,00:09:45,74,810.81,,,,
74,00:10:00,74,810.81,,,,
75,00:10:15,75,800.0,,,,
76,00:10:20,76,789.47,,,,
77,00:10:25,78,769.23,,,,
78,00:10:30,79,759.49,,,,
79,00:10:45,79,759.49,,,,
80,00:10:50,78,769.23,,,,
81,00:10:55,79,759.49,,,,
82,00:11:00,80,750.0,,,,
83,00:11:05,81,740.74,,,,
84,00:11:20,82,731.71,,,,
85,00:11:30,83,722.89,,,,
86,00:11:35,83,722.89,,,,
87,00:11:45,85,705.88,,,,
88,00:11:50,88,681.82,,,,
89,00:11:55,90,666.67,,,,
90,00:12:00,91,659.34,,,,
91,00:12:05,90,666.67,,,,
92,00:12:10,89,674.16,,,,
93,00:12:15,88,681.82,,,,
94,00:12:20,85,705.88,,,,
95,00:12:25,83,722.89,,,,
96,00:12:30,81,740.74,,,,
97,00:12:40,82,731.71,,,,
98,00:12:45,83,722.89,,,,
99,00:12:50,85,705.88,,,,
100,00:12:55,86,697.67,4.82420094393184,93.09367742752238,14.91921059902162,267.32229642032576
101,00:13:10,86,697.67,,,,
102,00:13:15,85,705.88,,,,
103,00:13:30,83,722.89,,,,
104,00:13:35,81,740.74,,,,
105,00:13:45,82,731.71,,,,
106,00:13:50,85,705.88,,,,
107,00:14:00,84,714.29,,,,
108,00:14:05,83,722.89,,,,
109,00:14:10,88,681.82,,,,
110,00:14:15,89,674.16,,,,
111,00:14:20,83,722.89,,,,
112,00:14:25,74,810.81,,,,
113,00:14:30,71,845.07,,,,
114,00:14:35,69,869.57,,,,
115,00:14:50,69,869.57,,,,
116,00:15:05,69,869.57,,,,
117,00:15:10,68,882.35,,,,
118,00:15:15,67,895.52,,,,
119,00:15:30,65,923.08,,,,
120,00:15:40,67,895.52,,,,
121,00:15:45,69,869.57,,,,
122,00:15:50,68,882.35,,,,
123,00:16:05,69,869.57,,,,
