,time,value,RRI,hf,lf/hf,sdnn,rmssd
0,00:00:01,86,697.67,,,,
1,00:00:11,87,689.66,,,,
2,00:00:16,86,697.67,,,,
3,00:00:26,86,697.67,,,,
4,00:00:36,87,689.66,,,,
5,00:00:46,88,681.82,,,,
6,00:01:01,88,681.82,,,,
7,00:01:11,91,659.34,,,,
8,00:01:16,92,652.17,,,,
9,00:01:31,92,652.17,,,,
10,00:01:36,93,645.16,,,,
11,00:01:41,94,638.3,,,,
12,00:01:46,93,645.16,,,,
13,00:01:51,92,652.17,,,,
14,00:01:56,91,659.34,,,,
15,00:02:01,90,666.67,,,,
16,00:02:06,92,652.17,,,,
17,00:02:16,91,659.34,,,,
18,00:02:21,90,666.67,,,,
19,00:02:26,90,666.67,,,,
20,00:02:31,91,659.34,,,,
21,00:02:46,92,652.17,,,,
22,00:02:51,102,588.24,,,,
23,00:02:56,106,566.04,,,,
24,00:03:01,113,530.97,,,,
25,00:03:06,114,526.32,,,,
26,00:03:16,112,535.71,,,,
27,00:03:21,108,555.56,,,,
28,00:03:26,101,594.06,,,,
29,00:03:31,93,645.16,,,,
30,00:03:36,88,681.82,,,,
31,00:03:41,86,697.67,,,,
32,00:03:46,88,681.82,,,,
33,00:03:51,91,659.34,,,,
34,00:03:56,95,631.58,,,,
35,00:04:01,106,566.04,,,,
36,00:04:06,109,550.46,,,,
37,00:04:21,111,540.54,,,,
38,00:04:26,108,555.56,,,,
39,00:04:41,104,576.92,,,,
40,00:04:46,85,705.88,,,,
41,00:04:51,80,750.0,,,,
42,00:04:56,79,759.49,,,,
43,00:05:01,81,740.74,,,,
44,00:05:06,80,750.0,,,,
45,00:05:21,81,740.74,,,,
46,00:05:26,85,705.88,,,,
47,00:05:31,85,705.88,,,,
48,00:05:36,84,714.29,,,,
49,00:05:41,83,722.89,,,,
50,00:05:46,81,740.74,2459.274597945133,3.4190138641395413,62.861480359759334,28.900592960515322
51,00:05:56,83,722.89,,,,
52,00:06:06,84,714.29,2771.5305348020506,3.1980941208073426,64.32966846848588,29.079726509675968
53,00:06:16,86,697.67,,,,
54,00:06:21,87,689.66,3033.8426200507606,3.1004649465494922,64.60031880915835,29.179919884910518
55,00:06:26,86,697.67,,,,
56,00:06:31,84,714.29,3236.58352863686,3.018280248380795,64.77473543011052,29.203289268190886
57,00:06:41,83,722.89,,,,
58,00:06:46,82,731.71,3363.8189204461505,2.955040865059577,65.89878299331482,29.131019374472952
59,00:06:51,83,722.89,,,,
60,00:07:06,84,714.29,3384.8060677940484,2.899459127747022,67.34491126147785,29.16828124199719
61,00:07:16,83,722.89,,,,
62,00:07:21,83,722.89,3281.0459523929626,2.8679678191358184,68.21125323880337,29.187096568902657
63,00:07:36,84,714.29,,,,
64,00:07:41,86,697.67,3079.470394974617,2.841646908507603,69.01199817038619,29.177799325332746
65,00:07:46,87,689.66,,,,
66,00:07:51,86,697.67,2770.3311992309405,2.8039698903204604,69.2282408827083,29.204507724469035
67,00:08:01,85,705.88,,,,
68,00:08:06,86,697.67,2323.249787419336,2.7276015476527435,69.52176832166619,29.213739673555764
69,00:08:11,86,697.67,,,,
70,00:08:16,85,705.88,1874.228628786775,2.6201619875009143,69.75184147346059,29.218515900513697
71,00:08:26,86,697.67,,,,
72,00:08:41,85,705.88,1407.839505346765,2.448796931982581,69.96050725624436,27.78515104093097
73,00:08:56,85,705.88,,,,
74,00:09:01,84,714.29,1022.0144422010571,2.177299140960168,67.39645974745109,27.170427914576997
75,00:09:06,84,714.29,,,,
76,00:09:16,83,722.89,708.0409820680761,1.8778243913101327,60.35250585738181,27.155752200059215
77,00:09:21,84,714.29,,,,
78,00:09:36,85,705.88,463.71785173530805,1.6531919839913891,53.38588001388704,26.498346694671742
79,00:09:41,82,731.71,,,,
80,00:09:46,81,740.74,281.02665540184137,1.4283249650540377,51.321758124401704,25.229035710013637
81,00:09:51,82,731.71,,,,
82,00:09:56,81,740.74,176.32230297551368,1.2508488738914334,51.91603266342879,25.09140217814275
83,00:10:01,78,769.23,,,,
84,00:10:16,79,759.49,128.29392725306948,1.2242119108694596,52.85379515460454,24.935262180294004
85,00:10:26,80,750.0,,,,
86,00:10:31,81,740.74,104.52907219858952,1.2078005755672834,49.05954243902537,23.085156199053415
87,00:10:36,82,731.71,,,,
