,time,value,RRI,ratio,sdnn,rmssd
0,00:00:04,77,779.22,,,
1,00:00:09,78,769.23,,,
2,00:00:14,78,769.23,,,
3,00:00:26,80,750.0,,,
4,00:00:36,81,740.74,,,
5,00:00:41,82,731.71,,,
6,00:00:46,81,740.74,,,
7,00:01:01,81,740.74,,,
8,00:01:06,87,689.66,,,
9,00:01:11,89,674.16,,,
10,00:01:21,88,681.82,,,
11,00:01:26,85,705.88,,,
12,00:01:31,82,731.71,,,
13,00:01:36,80,750.0,,,
14,00:01:41,79,759.49,,,
15,00:01:46,78,769.23,,,
16,00:01:51,79,759.49,,,
17,00:02:06,79,759.49,,,
18,00:02:21,78,769.23,,,
19,00:02:36,76,789.47,,,
20,00:02:41,75,800.0,,,
21,00:02:56,76,789.47,,,
22,00:03:01,76,789.47,,,
23,00:03:06,75,800.0,,,
24,00:03:16,74,810.81,,,
25,00:03:21,77,779.22,,,
26,00:03:26,79,759.49,,,
27,00:03:31,80,750.0,,,
28,00:03:36,80,750.0,,,
29,00:03:41,81,740.74,,,
30,00:03:46,81,740.74,,,
31,00:04:01,81,740.74,,,
32,00:04:06,82,731.71,,,
33,00:04:21,82,731.71,,,
34,00:04:26,81,740.74,,,
35,00:04:31,77,779.22,,,
36,00:04:36,77,779.22,,,
37,00:04:41,78,769.23,,,
38,00:04:51,76,789.47,,,
39,00:04:56,74,810.81,,,
40,00:05:01,74,810.81,,,
41,00:05:06,73,821.92,,,
42,00:05:16,75,800.0,,,
43,00:05:21,75,800.0,,,
44,00:05:26,73,821.92,,,
45,00:05:36,74,810.81,,,
46,00:05:41,74,810.81,,,
47,00:05:46,74,810.81,,,
48,00:05:56,75,800.0,,,
49,00:06:11,75,800.0,,,
50,00:06:16,73,821.92,,,
51,00:06:31,74,810.81,,,
52,00:06:36,76,789.47,,,
53,00:06:46,75,800.0,,,
54,00:06:51,75,800.0,,,
55,00:07:01,75,800.0,,,
56,00:07:06,73,821.92,,,
57,00:07:11,72,833.33,,,
58,00:07:21,73,821.92,,,
59,00:07:26,75,800.0,,,
60,00:07:31,74,810.81,,,
61,00:07:36,75,800.0,,,
62,00:07:41,76,789.47,,,
63,00:07:51,77,779.22,,,
64,00:07:56,79,759.49,,,
65,00:08:01,79,759.49,,,
66,00:08:16,82,731.71,,,
67,00:08:21,83,722.89,,,
68,00:08:31,84,714.29,,,
69,00:08:36,88,681.82,,,
70,00:08:41,87,689.66,,,
71,00:08:46,85,705.88,,,
72,00:08:51,83,722.89,,,
73,00:08:56,80,750.0,,,
74,00:09:06,78,769.23,,,
75,00:09:11,77,779.22,,,
76,00:09:16,77,779.22,,,
77,00:09:21,76,789.47,,,
78,00:09:31,78,769.23,,,
79,00:09:36,79,759.49,,,
80,00:09:51,78,769.23,,,
81,00:09:56,76,789.47,,,
82,00:10:11,76,789.47,,,
83,00:10:21,78,769.23,,,
84,00:10:26,78,769.23,,,
85,00:10:31,80,750.0,,,
86,00:10:36,81,740.74,,,
87,00:10:41,80,750.0,,,
88,00:10:46,78,769.23,,,
89,00:10:51,77,779.22,,,
90,00:11:01,78,769.23,,,
91,00:11:16,76,789.47,,,
92,00:11:21,74,810.81,,,
93,00:11:31,73,821.92,,,
94,00:11:46,71,845.07,,,
95,00:11:56,72,833.33,,,
96,00:12:01,73,821.92,,,
97,00:12:06,75,800.0,,,
98,00:12:21,78,769.23,,,
99,00:12:36,78,769.23,,,
100,00:12:46,79,759.49,6.266517078425583,36.7298147546253,15.833134129528375
101,00:13:01,79,759.49,,,
102,00:13:11,80,750.0,,,
103,00:13:16,81,740.74,,,
104,00:13:21,82,731.71,,,
105,00:13:26,82,731.71,,,
106,00:13:31,81,740.74,,,
107,00:13:36,78,769.23,,,
108,00:13:46,76,789.47,,,
109,00:13:51,74,810.81,,,
110,00:13:56,73,821.92,,,
111,00:14:01,73,821.92,,,
112,00:14:06,75,800.0,,,
113,00:14:11,77,779.22,,,
114,00:14:16,76,789.47,,,
115,00:14:21,75,800.0,,,
116,00:14:26,74,810.81,,,
117,00:14:36,78,769.23,,,
118,00:14:41,80,750.0,,,
119,00:14:51,79,759.49,,,
120,00:14:56,79,759.49,,,
121,00:15:06,82,731.71,,,
122,00:15:11,83,722.89,,,
123,00:15:16,84,714.29,,,
124,00:15:26,83,722.89,,,
125,00:15:32,84,714.29,,,
126,00:15:47,84,714.29,,,
127,00:16:02,85,705.88,,,
128,00:16:07,85,705.88,,,
129,00:16:12,84,714.29,,,
130,00:16:17,81,740.74,,,
131,00:16:22,79,759.49,,,
132,00:16:37,79,759.49,,,
133,00:16:42,76,789.47,,,
134,00:16:47,75,800.0,,,
135,00:17:02,72,833.33,,,
136,00:17:07,70,857.14,,,
137,00:17:12,69,869.57,,,
138,00:17:17,70,857.14,,,
139,00:17:22,73,821.92,,,
140,00:17:27,74,810.81,,,
141,00:17:32,75,800.0,,,
142,00:17:42,77,779.22,,,
143,00:17:47,76,789.47,,,
144,00:17:52,75,800.0,,,
145,00:18:07,74,810.81,,,
146,00:18:12,74,810.81,,,
147,00:18:27,75,800.0,,,
148,00:18:32,73,821.92,,,
149,00:18:37,71,845.07,,,
150,00:18:42,74,810.81,,,
151,00:18:47,74,810.81,,,
152,00:18:52,76,789.47,,,
153,00:18:57,77,779.22,,,
154,00:19:02,79,759.49,,,
155,00:19:07,81,740.74,,,
156,00:19:12,83,722.89,,,
157,00:19:22,82,731.71,,,
158,00:19:32,82,731.71,,,
159,00:19:42,83,722.89,,,
160,00:19:47,84,714.29,,,
161,00:19:57,85,705.88,,,
162,00:20:02,85,705.88,,,
163,00:20:07,86,697.67,,,
164,00:20:12,85,705.88,,,
165,00:20:17,83,722.89,,,
166,00:20:22,82,731.71,,,
167,00:20:27,83,722.89,,,
168,00:20:32,84,714.29,,,
169,00:20:37,82,731.71,,,
170,00:20:42,77,779.22,,,
171,00:20:47,73,821.92,,,
172,00:20:52,71,845.07,,,
173,00:21:02,72,833.33,,,
174,00:21:07,73,821.92,,,
175,00:21:17,75,800.0,,,
176,00:21:22,76,789.47,,,
177,00:21:32,75,800.0,,,
178,00:21:42,76,789.47,,,
179,00:21:47,76,789.47,,,
180,00:21:57,77,779.22,,,
181,00:22:07,78,769.23,,,
182,00:22:23,77,779.22,,,
183,00:22:28,78,769.23,,,
184,00:22:38,76,789.47,,,
185,00:22:43,75,800.0,,,
186,00:22:53,76,789.47,,,
187,00:22:58,78,769.23,,,
188,00:23:03,82,731.71,,,
189,00:23:08,80,750.0,,,
190,00:23:13,77,779.22,,,
191,00:23:23,76,789.47,,,
192,00:23:38,77,779.22,,,
193,00:23:43,78,769.23,,,
194,00:23:48,77,779.22,,,
195,00:23:53,75,800.0,,,
196,00:23:58,74,810.81,,,
197,00:24:13,74,810.81,,,
198,00:24:18,73,821.92,,,
199,00:24:28,76,789.47,,,
200,00:24:33,75,800.0,10.858896598157552,40.99226480370868,17.44750180375171
201,00:24:38,77,779.22,,,
202,00:24:43,76,789.47,,,
203,00:24:48,74,810.81,,,
204,00:24:53,75,800.0,,,
205,00:24:58,74,810.81,,,
206,00:25:03,73,821.92,,,
207,00:25:08,71,845.07,,,
208,00:25:18,70,857.14,,,
209,00:25:23,72,833.33,,,
210,00:25:33,71,845.07,,,
211,00:25:43,70,857.14,,,
212,00:25:53,71,845.07,,,
213,00:26:03,72,833.33,,,
